text,label
you are stupid,bullying
nobody likes you,bullying
leave this group now,bullying
you are useless,bullying
you are ugly,bullying
everyone hates you,bullying
go away idiot,bullying
i will disgrace you online,bullying
shut up fool,bullying
you are a loser,bullying
hello friend,non-bullying
how are you today,non-bullying
thank you very much,non-bullying
have a wonderful day,non-bullying
i appreciate your help,non-bullying
let us work together,non-bullying
good morning everyone,non-bullying
that is a great idea,non-bullying
nice meeting you,non-bullying
welcome to the group,non-bullying
