text,label
good morning everyone,normal
thank you for your support,normal
please send the document today,normal
happy birthday my friend,normal
the meeting starts at ten,normal
I enjoyed your presentation,normal
let us work together,normal
welcome to the group,normal
your idea is very helpful,normal
have a wonderful day,normal
can we discuss the assignment,normal
congratulations on your success,normal
I agree with your opinion,normal
please take care of yourself,normal
see you tomorrow,normal
the weather is nice today,normal
I appreciate your effort,normal
let us solve the problem calmly,normal
your work looks excellent,normal
kindly check your email,normal
you are an idiot,offensive_words
what a stupid person,offensive_words
you are a fool,offensive_words
shut up moron,offensive_words
this is damn nonsense,offensive_words
you are so dumb,offensive_words
get lost you loser,offensive_words
you are useless,offensive_words
what an ugly fool,offensive_words
you talk rubbish,offensive_words
you are pathetic,offensive_words
stupid idiot,offensive_words
your brain is empty,offensive_words
you are a complete clown,offensive_words
nonsense human being,offensive_words
you are very foolish,offensive_words
go away dummy,offensive_words
you are a disgrace,offensive_words
silly useless person,offensive_words
you sound like an idiot,offensive_words
everything you say is disgusting,toxic_language
nobody wants your negative energy here,toxic_language
you ruin every conversation,toxic_language
your presence makes this place worse,toxic_language
you are always causing problems,toxic_language
people are tired of your behaviour,toxic_language
you make everyone uncomfortable,toxic_language
your comments are completely toxic,toxic_language
you bring nothing but trouble,toxic_language
stop spreading your poison,toxic_language
you are unbearable to work with,toxic_language
all your ideas are terrible,toxic_language
you never do anything right,toxic_language
everyone is better without you,toxic_language
your attitude is disgusting,toxic_language
you destroy every good discussion,toxic_language
you are the worst person here,toxic_language
nothing good comes from you,toxic_language
you make this group miserable,toxic_language
your words are full of bitterness,toxic_language
I will keep messaging until you answer me,harassment
you cannot hide from me online,harassment
I am watching everything you post,harassment
reply now or I will continue disturbing you,harassment
I will follow you everywhere,harassment
stop ignoring me I will not leave you alone,harassment
I will contact all your friends about you,harassment
you must talk to me whether you like it or not,harassment
I will keep calling your phone,harassment
I know where you spend your time,harassment
I will embarrass you every day,harassment
you cannot block me forever,harassment
I will continue sending messages all night,harassment
answer me now you have no choice,harassment
I will post about you repeatedly,harassment
I am going to monitor your account,harassment
I will keep creating accounts to reach you,harassment
you will hear from me every single day,harassment
I refuse to leave you alone,harassment
I will continue bothering you,harassment
everyone should laugh at your embarrassing photo,cyberbullying
we created a group to make fun of you,cyberbullying
I will post your mistake so the whole school can mock you,cyberbullying
nobody online likes you,cyberbullying
leave this group because nobody wants you,cyberbullying
we will keep sharing memes about you,cyberbullying
everyone should block this loser,cyberbullying
let us expose and shame this person,cyberbullying
your classmates are laughing at you online,cyberbullying
I will spread rumours about you on social media,cyberbullying
we made a fake account to mock you,cyberbullying
everyone repost this embarrassing picture,cyberbullying
you do not belong in this online community,cyberbullying
we will humiliate you in the group chat,cyberbullying
I will tag everyone so they can insult you,cyberbullying
the whole class thinks you are a joke,cyberbullying
we will keep making fun of your posts,cyberbullying
your video deserves public ridicule,cyberbullying
I will upload your private photo to shame you,cyberbullying
everyone in the chat hates you,cyberbullying
people of your religion are all evil,hate_speech
your ethnic group does not belong here,hate_speech
women are inferior and should stay silent,hate_speech
all people from your tribe are criminals,hate_speech
your race is disgusting,hate_speech
people like you should be removed because of your identity,hate_speech
I hate everyone from your country,hate_speech
your religion makes you worthless,hate_speech
that ethnic community is a disease,hate_speech
men from that group are animals,hate_speech
people with your disability are useless,hate_speech
your gender should not have any rights,hate_speech
all immigrants are dirty criminals,hate_speech
your tribe should be banned,hate_speech
your race is not welcome here,hate_speech
people of that faith are dangerous,hate_speech
your identity makes you less human,hate_speech
everyone from your community is stupid,hate_speech
your people should leave this country,hate_speech
I hate your entire ethnic group,hate_speech
I will hurt you,threats
I am going to beat you,threats
you will pay for this tonight,threats
I will find you and attack you,threats
I will destroy your life,threats
I am coming to harm you,threats
watch your back because I will get you,threats
I will break your face,threats
I will deal with you violently,threats
you are going to regret this,threats
I know where you live and I will come for you,threats
I will make you suffer,threats
I will attack you after school,threats
I am going to kill you,threats
I will burn your property,threats
you will not be safe when I see you,threats
I will punish you physically,threats
I am bringing people to beat you,threats
I will destroy everything you own,threats
this is your last warning before I hurt you,threats
